genus	Control.Persistence.count	Control.New.count	Control.Persistence.fraction	Control.New.fraction	Control.Persistence.rank	Control.New.rank	rCDI.Engraftment.count	rCDI.Persistence.count	rCDI.Engraftment.fraction	rCDI.Persistence.fraction	rCDI.Engraftment.rank	rCDI.Persistence.rank
Acidaminococcus	7	7	0.5	0.5	0.558139534872093	0.441860465127907	2	3	0.2	0.3	0.325000000035	0.7666666666133334
Actinomyces	3	5	0.375	0.625	0.2790697674860465	0.7209302325139534	14	28	0.15217391304347827	0.30434782608695654	0.30000000004	0.79999999994
Adlercreutzia	30	35	0.46153846153846156	0.5384615384615384	0.4651162790767442	0.5348837209232558	15	0	0.7142857142857143	0	0.9999999999	1e-10
Alistipes	392	82	0.8270042194092827	0.1729957805907173	0.9302325580534884	0.06976744194651162	35	0	0.45454545454545453	0	0.774999999945	1e-10
Anaerostipes	24	31	0.43636363636363634	0.5636363636363636	0.4186046511790698	0.5813953488209302	20	0	0.4444444444444444	0	0.74999999995	1e-10
Anaerotruncus	21	41	0.3387096774193548	0.6612903225806451	0.18604651169069766	0.8139534883093024	4	0	0.25	0	0.375000000025	1e-10
Atopobium	0	9	0	1	1e-10	0.9999999999	2	8	0.07142857142857142	0.2857142857142857	0.07500000008499999	0.7333333332866666
Bacteroides	758	197	0.793717277486911	0.20628272251308902	0.9069767441046511	0.09302325589534882	123	7	0.5466666666666666	0.03111111111111111	0.89999999992	0.16666666673333333
Barnesiella	46	8	0.8518518518518519	0.14814814814814814	0.9767441859511627	0.023255814048837208	6	0	0.6	0	0.924999999915	1e-10
Bifidobacterium	129	120	0.5180722891566265	0.4819277108433735	0.5813953488209302	0.4186046511790698	53	15	0.44166666666666665	0.125	0.724999999955	0.4333333333466667
Bilophila	56	20	0.7368421052631579	0.2631578947368421	0.883720930155814	0.11627906984418604	7	3	0.4375	0.1875	0.674999999965	0.6333333333066666
Blautia	200	86	0.6993006993006993	0.3006993006993007	0.8372093022581396	0.16279069774186047	60	5	0.6	0.05	0.924999999915	0.23333333338666667
Burkholderiales_noname	35	19	0.6481481481481481	0.35185185185185186	0.7441860464627906	0.2558139535372093	5	0	0.2777777777777778	0	0.425000000015	1e-10
Campylobacter	1	7	0.125	0.875	0.023255814048837208	0.9767441859511627	0	1	0	0.08333333333333333	1e-10	0.3666666666933333
Clostridiales_noname	37	57	0.39361702127659576	0.6063829787234043	0.32558139538372094	0.674418604616279	10	1	0.24390243902439024	0.024390243902439025	0.35000000003	0.06666666675333333
Clostridium	255	194	0.5679287305122495	0.43207126948775054	0.6046511627697674	0.39534883723023256	70	9	0.2892561983471074	0.0371900826446281	0.45000000001	0.20000000006000002
Collinsella	62	34	0.6458333333333334	0.3541666666666667	0.7209302325139534	0.2790697674860465	8	1	0.4	0.05	0.54999999999	0.23333333338666667
Coprococcus	112	63	0.64	0.36	0.69767441856511625	0.3023255814348837	23	0	0.46938775510204084	0	0.79999999994	1e-10
Desulfovibrio	24	24	0.5	0.5	0.558139534872093	0.441860465127907	10	3	0.5	0.15	0.824999999935	0.5
Dialister	30	21	0.5882352941176471	0.4117647058823529	0.6511627906674419	0.34883720933255813	9	11	0.25	0.3055555555555556	0.375000000025	0.8333333332666667
